Course_Id,Devry_Course_ID,Course_Class,Couse_Title,Course_Type,Course_Progress,Couse_Dis
1,101,CEIS,Intro to Tech & Information Systems,Major,Complete,"This course introduces the basics of the Internet of Things (IoT) and characterizes the way that People, Places, Data, and Devices (P2D2) work together. The basics of networking, computing, and electronic devices as applied to IoT are the focus as students’ problem-solving skills are developed."
2,106,CEIS,Intro to Operating Systems,Major,Complete,"This course presents operating system concepts by examining Windows, Linux, mobile, and virtual based systems. Computing system architectures and devices are considered. Basic scripting is introduced."
3,110,CEIS,Intro to Programming,Major,Complete,"This introductory programming course presents the basic elements of programming, including variables, expressions, conditionals, and functions, and then uses these elements to create simple interactive applications. Program specification design, documentation, and validation are also covered."
4,112,ENGL,Composition,Core,Complete,"This course develops writing skills through analysis of essays, articles and other written works that are used as models for writing practice and development. Writing assignments stress process approaches, development, organization, revision and audience awareness. Students use word processing and web-based tools to develop written work."
5,114,CEIS,Intro to Digital Devices,Major,Complete,"This course explores digital concepts, devices and connectivity within the realm of the Internet of Things (IoT). The basics of networking, computing, and digital devices are further explored. Practical application of IoT systems and concepts are accomplished throughout the course. IoT solutions are derived to solve industry or societal problems from a global perspective."
6,114,MATH,Algebra for College Students,Core,Complete,This course focuses on factoring polynomials; solving quadratic equations; systems of linear equations; radical expressions; and functions where linear and quadratic functions are emphasized using application problems and modeling.
7,135,ENGL,Advanced Composition,Core,Complete,"This course builds on the conventions and techniques of composition through critical reading requirements and longer, more sophisticated reports, including a documented library research paper. Assignments require revising and editing for an intended audience. Students are also taught search strategies for accessing a variety of print and electronic resources."
8,148,COLL,Critical Thinking & Problem Solving,Core,Complete,"This course focuses on identifying and articulating skills needed for academic and professional success. Coursework provides instruction and practice in critical thinking and problem-solving through analysis of critical reading and reasoning, as well as through examination of problem-solving methodologies. Students learn to work in teams, to identify and resolve problems, and to use research effectively to gather and evaluate relevant and useful information."
9,150,CEIS,Programming with Objects,Major,Complete,"This course builds on structured programming and introduces object-oriented and functional programming concepts. Students design, code, test and document business-oriented solutions using complex algorithms. Advanced topics include the use of libraries for data manipulation and visualization."
10,185,SOCS,Culture & Society,Core,Complete,"This course explores the role of culture in social organizations. Social institutions, and the issues of race and gender within social structures, are analyzed in the context of multicultural societies and increasing global interaction. Basic sociological principles and research findings are used to support analysis of cultural and social issues."
11,185,SOCS,Environmental Sociology,Core,Complete,"This course explores the role of culture in social organizations. Social institutions, and the issues of race and gender within social structures, are analyzed in the context of multicultural societies and increasing global interaction. Basic sociological principles and research findings are used to support analysis of cultural and social issues."
12,190,NETW,Fundamentals of Intro Tech & Networking I,Major,Complete,"This course introduces the underlying technology of networks and the Internet. Networking basics are introduced, such as the OSI and TCP/IP models, routing protocols, switches, small network configuration, troubleshooting, and network security. The learning domains of the CompTIA Network+ certification exam are reviewed. "
13,200,NETW,Fundamentals of Cloud Computing,Major,Complete,"The course covers popular Cloud platforms, including AWS, Google Cloud Platform, and Microsoft Azure. Learners work with OpenStack in virtual machine activities to gain hands-on practice and troubleshooting skills, as well as use a secure, private Cloud sandbox environment. The course also reviews learning domains of the CompTIA Cloud+ Exam."
14,204,PHYS,Applied Physics with Lab,Core,Complete,"This course covers the basics of force and motion, matter and energy, energy conversion, electricity and magnetism, heat and light. Use of transducers for performing physical measurements associated with these concepts is incorporated. Logarithms and trigonometry are introduced for analyzing problems in nature. "
15,209,CEIS,Intermediate Programming,Major,Complete,"This course explores structured and object-oriented program development. Topics include language syntax, selection and iteration control structures, functions, debugger tools and techniques, objects, classes, encapsulation, polymorphism and inheritance. An integrated development environment is used to program, design, code and test structured and object-oriented applications. A programming language, such as C#, is used."
16,216,ENGL,Technical Writing,Core,Complete,"This course builds on basic composition principles and focuses on common technical and workplace documents including descriptions; instructions; procedures; reports; proposals; analyses; and other types of applied writing, such as memos and letters. Students apply a writing process strategy and guidelines for audience analysis, effective technical style, organizational strategies and visual aids."
17,211,MATH,Statistics for Decision-Making,Core,Complete,This course provides tools used for statistical analysis and decision-making in business. The course includes both descriptive statistics and inferential concepts used to draw conclusions about a population. Research techniques such as sampling and experiment design are included for both single and multiple sample groups.
